propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-30,2022-04-30 09:36:07.123000+00:00,2022-04-30 10:00:02.223000+00:00,Deauville-Saint-Gatien Airport,Paris-Le Bourget Airport,24min,23.92,1.8,160.0,FR,FR,Deauville-Saint-Gatien Airport - Paris-Le Bourget Airport,LFRG,LFPB,49.320467,0.308268,48.96698,2.431781,1570.0,52.0,output\F-GVMA\2022-04-30\leg_2\F-GVMA_2022-04-30_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-30,2022-04-30 08:27:09.023000+00:00,2022-04-30 08:52:37.823000+00:00,Paris-Le Bourget Airport,Le Havre Octeville Airport,25min,25.47,1.9,198.0,FR,FR,Paris-Le Bourget Airport - Le Havre Octeville Airport,LFPB,LFOH,48.964142,2.428612,49.435684,-0.194646,89.0,1082.0,output\F-GVMA\2022-04-30\leg_1\F-GVMA_2022-04-30_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-22,2022-04-22 08:34:27.034000+00:00,2022-04-22 09:57:22.435000+00:00,Venice Marco Polo Airport,Paris-Le Bourget Airport,1h23min,82.92,6.2,843.0,IT,FR,Venice Marco Polo Airport - Paris-Le Bourget Airport,LIPZ,LFPB,45.503928,12.350442,48.967026,2.432063,101.0,50.0,output\F-GVMA\2022-04-22\leg_2\F-GVMA_2022-04-22_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-22,2022-04-22 06:18:17.334000+00:00,2022-04-22 07:45:51.635000+00:00,Paris-Le Bourget Airport,Venice Marco Polo Airport,1h28min,87.57,6.6,843.0,FR,IT,Paris-Le Bourget Airport - Venice Marco Polo Airport,LFPB,LIPZ,48.964156,2.428629,45.49118,12.333919,160.0,52.0,output\F-GVMA\2022-04-22\leg_1\F-GVMA_2022-04-22_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-21,2022-04-21 08:12:15.047000+00:00,2022-04-21 09:36:07.447000+00:00,Venice Marco Polo Airport,Paris-Le Bourget Airport,1h24min,83.87,6.3,843.0,IT,FR,Venice Marco Polo Airport - Paris-Le Bourget Airport,LIPZ,LFPB,45.502396,12.348371,48.965506,2.426533,78.0,50.0,output\F-GVMA\2022-04-21\leg_2\F-GVMA_2022-04-21_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-21,2022-04-21 05:55:12.247000+00:00,2022-04-21 07:12:03.947000+00:00,Paris-Le Bourget Airport,Venice Marco Polo Airport,1h17min,76.85,5.8,843.0,FR,IT,Paris-Le Bourget Airport - Venice Marco Polo Airport,LFPB,LIPZ,48.964233,2.430514,45.506126,12.350153,68.0,147.0,output\F-GVMA\2022-04-21\leg_1\F-GVMA_2022-04-21_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-18,2022-04-18 15:58:06.018000+00:00,2022-04-18 16:45:18.118000+00:00,London Luton Airport,Paris-Le Bourget Airport,47min,47.2,3.5,380.0,GB,FR,London Luton Airport - Paris-Le Bourget Airport,EGGW,LFPB,51.875114,-0.365677,48.967072,2.432345,234.0,46.0,output\F-GVMA\2022-04-18\leg_1\F-GVMA_2022-04-18_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-16,2022-04-16 07:21:54.199000+00:00,2022-04-16 08:11:54.799000+00:00,Paris-Le Bourget Airport,London Luton Airport,50min,50.0,3.8,380.0,FR,GB,Paris-Le Bourget Airport - London Luton Airport,LFPB,EGGW,48.964233,2.430162,51.873184,-0.376801,89.0,166.0,output\F-GVMA\2022-04-16\leg_1\F-GVMA_2022-04-16_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-06,2022-04-06 13:53:53.190000+00:00,2022-04-06 14:55:03.690000+00:00,Milano Linate Airport,Paris-Le Bourget Airport,1h01min,61.17,4.6,649.0,IT,FR,Milano Linate Airport - Paris-Le Bourget Airport,LIML,LFPB,45.438995,9.277758,48.964668,2.438748,201.0,46.0,output\F-GVMA\2022-04-06\leg_2\F-GVMA_2022-04-06_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-04-06,2022-04-06 06:07:24.690000+00:00,2022-04-06 07:09:31.190000+00:00,Paris-Le Bourget Airport,Milano Linate Airport,1h02min,62.1,4.7,649.0,FR,IT,Paris-Le Bourget Airport - Milano Linate Airport,LFPB,LIML,48.972302,2.451758,45.440524,9.277552,55.0,109.0,output\F-GVMA\2022-04-06\leg_1\F-GVMA_2022-04-06_leg_1.csv
