propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-20,2022-06-20 07:25:55.085000+00:00,2022-06-20 08:16:32.385000+00:00,Toulon-Hyères Airport,Ciampino G. B. Pastine International Airport,51min,50.62,3.8,546.0,FR,IT,Toulon-Hyères Airport - Ciampino G. B. Pastine International Airport,LFTH,LIRA,43.118871,6.192562,41.80069,12.593953,860.0,112.0,output\F-HFHP\2022-06-20\leg_1\F-HFHP_2022-06-20_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-17,2022-06-17 12:39:23.267000+00:00,2022-06-17 14:07:14.087000+00:00,London Luton Airport,Toulon-Hyères Airport,1h28min,87.83,6.6,1094.0,GB,FR,London Luton Airport - Toulon-Hyères Airport,EGGW,LFTH,51.874648,-0.368576,43.062123,6.120366,274.0,478.0,output\F-HFHP\2022-06-17\leg_1\F-HFHP_2022-06-17_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-16,2022-06-16 14:57:50.652000+00:00,2022-06-16 15:51:52.052000+00:00,Paris-Le Bourget Airport,London Luton Airport,54min,54.02,4.1,380.0,FR,GB,Paris-Le Bourget Airport - London Luton Airport,LFPB,EGGW,48.964188,2.42981,51.875473,-0.363662,52.0,174.0,output\F-HFHP\2022-06-16\leg_1\F-HFHP_2022-06-16_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-02,2022-06-02 10:52:07.412000+00:00,2022-06-02 11:29:35.011000+00:00,Dinard-Pleurtuit-Saint-Malo Airport,Paris-Le Bourget Airport,37min,37.45,2.8,334.0,FR,FR,Dinard-Pleurtuit-Saint-Malo Airport - Paris-Le Bourget Airport,LFRD,LFPB,48.592575,-2.081205,48.966809,2.431376,66.0,50.0,output\F-HFHP\2022-06-02\leg_3\F-HFHP_2022-06-02_leg_3.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-02,2022-06-02 07:40:44.212000+00:00,2022-06-02 09:54:29.011000+00:00,Naples International Airport,Dinard-Pleurtuit-Saint-Malo Airport,2h14min,133.73,10.0,1549.0,IT,FR,Naples International Airport - Dinard-Pleurtuit-Saint-Malo Airport,LIRN,LFRD,40.886627,14.291992,48.591568,-2.080923,136.0,58.0,output\F-HFHP\2022-06-02\leg_2\F-HFHP_2022-06-02_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-02,2022-06-02 04:48:48.812000+00:00,2022-06-02 06:24:03.212000+00:00,Paris-Le Bourget Airport,Naples International Airport,1h35min,95.23,7.1,1294.0,FR,IT,Paris-Le Bourget Airport - Naples International Airport,LFPB,LIRN,48.964156,2.428701,40.887575,14.294024,45.0,78.0,output\F-HFHP\2022-06-02\leg_1\F-HFHP_2022-06-02_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-26,2022-05-26 13:19:43.819000+00:00,2022-05-26 15:08:18.119000+00:00,Naples International Airport,Paris-Le Bourget Airport,1h49min,108.57,8.1,1294.0,IT,FR,Naples International Airport - Paris-Le Bourget Airport,LIRN,LFPB,40.890182,14.29958,48.964714,2.439182,140.0,46.0,output\F-HFHP\2022-05-26\leg_3\F-HFHP_2022-05-26_leg_3.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-26,2022-05-26 10:05:11.619000+00:00,2022-05-26 12:14:43.919000+00:00,London Luton Airport,Naples International Airport,2h10min,129.53,9.7,1656.0,GB,IT,London Luton Airport - Naples International Airport,EGGW,LIRN,51.875336,-0.36433,40.887634,14.294189,222.0,74.0,output\F-HFHP\2022-05-26\leg_2\F-HFHP_2022-05-26_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-25,2022-05-25 14:45:27.933000+00:00,2022-05-25 15:41:30.333000+00:00,Paris-Le Bourget Airport,London Luton Airport,56min,56.03,4.2,380.0,FR,GB,Paris-Le Bourget Airport - London Luton Airport,LFPB,EGGW,48.972815,2.453782,51.875748,-0.362103,132.0,159.0,output\F-HFHP\2022-05-25\leg_1\F-HFHP_2022-05-25_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-05-24,2022-05-24 16:47:11.059000+00:00,2022-05-24 17:53:04.959000+00:00,Milano Linate Airport,Paris-Le Bourget Airport,1h06min,65.88,4.9,649.0,IT,FR,Milano Linate Airport - Paris-Le Bourget Airport,LIML,LFPB,45.44014,9.277627,48.9646,2.437275,231.0,46.0,output\F-HFHP\2022-05-24\leg_1\F-HFHP_2022-05-24_leg_1.csv
