propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-04-27,2022-04-27 13:20:13.689000+00:00,2022-04-27 14:25:37.590000+00:00,Paris-Le Bourget Airport,Toulon-Hyères Airport,1h05min,65.38,5.1,714.0,FR,FR,Paris-Le Bourget Airport - Toulon-Hyères Airport,LFPB,LFTH,48.964096,2.427626,43.071808,6.102139,104.0,524.0,output\F-GBOL\2022-04-27\leg_1\F-GBOL_2022-04-27_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-04-20,2022-04-20 09:23:40.108000+00:00,2022-04-20 15:11:54.308000+00:00,Kotoka International Airport,Paris-Le Bourget Airport,5h48min,348.23,27.3,4779.0,GH,FR,Kotoka International Airport - Paris-Le Bourget Airport,DGAA,LFPB,5.904919,-0.042951,48.966995,2.431954,5508.0,46.0,output\F-GBOL\2022-04-20\leg_1\F-GBOL_2022-04-20_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-04-19,2022-04-19 06:20:35.810000+00:00,2022-04-19 12:15:35.910000+00:00,Paris-Le Bourget Airport,Kotoka International Airport,5h55min,355.0,27.8,4760.0,FR,GH,Paris-Le Bourget Airport - Kotoka International Airport,LFPB,DGAA,48.972163,2.451324,6.081024,0.000233,139.0,3160.0,output\F-GBOL\2022-04-19\leg_1\F-GBOL_2022-04-19_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-04-08,2022-04-08 08:42:27.699000+00:00,2022-04-08 08:59:41.299000+00:00,Charles de Gaulle International Airport,Paris-Le Bourget Airport,17min,17.22,1.3,10.0,FR,FR,Charles de Gaulle International Airport - Paris-Le Bourget Airport,LFPG,LFPB,49.021974,2.540516,48.965971,2.428268,210.0,54.0,output\F-GBOL\2022-04-08\leg_1\F-GBOL_2022-04-08_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-04-07,2022-04-07 17:08:13.488000+00:00,2022-04-07 22:06:02.988000+00:00,A/C in cruise,Charles de Gaulle International Airport,4h58min,297.82,23.3,4402.0,A/C in cruise,FR,A/C in cruise - Charles de Gaulle International Airport,A/C in cruise,LFPG,11.547832,-13.191319,48.994834,2.60217,13984.0,115.0,output\F-GBOL\2022-04-07\leg_1\F-GBOL_2022-04-07_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-04-06,2022-04-06 10:13:26.390000+00:00,2022-04-06 15:45:36.990000+00:00,Paris-Le Bourget Airport,A/C in cruise,5h32min,332.17,26.0,4366.0,FR,A/C in cruise,Paris-Le Bourget Airport - A/C in cruise,LFPB,A/C in cruise,48.972336,2.451923,11.952267,-13.647251,61.0,14112.0,output\F-GBOL\2022-04-06\leg_1\F-GBOL_2022-04-06_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-04-04,2022-04-04 13:27:06.090000+00:00,2022-04-04 15:34:17.090000+00:00,Humberto Delgado Airport (Lisbon Portela Airport),Paris-Le Bourget Airport,2h07min,127.18,10.0,1463.0,PT,FR,Humberto Delgado Airport (Lisbon Portela Airport) - Paris-Le Bourget Airport,LPPT,LFPB,38.770386,-9.141759,48.964691,2.438824,197.0,46.0,output\F-GBOL\2022-04-04\leg_3\F-GBOL_2022-04-04_leg_3.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-04-04,2022-04-04 07:49:20.890000+00:00,2022-04-04 09:57:52.090000+00:00,Paris-Le Bourget Airport,Humberto Delgado Airport (Lisbon Portela Airport),2h09min,128.52,10.1,1464.0,FR,PT,Paris-Le Bourget Airport - Humberto Delgado Airport (Lisbon Portela Airport),LFPB,LPPT,48.972209,2.451397,38.771636,-9.141113,64.0,105.0,output\F-GBOL\2022-04-04\leg_2\F-GBOL_2022-04-04_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-03-31,2022-03-31 14:07:52.784000+00:00,2022-03-31 20:38:48.484000+00:00,Doha International Airport,Paris-Le Bourget Airport,6h31min,390.92,30.6,4981.0,QA,FR,Doha International Airport - Paris-Le Bourget Airport,OTBD,LFPB,25.246994,51.57135,48.964668,2.438748,275.0,46.0,output\F-GBOL\2022-03-31\leg_2\F-GBOL_2022-03-31_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-03-30,2022-03-30 19:35:04.031000+00:00,2022-03-31 01:20:40.284000+00:00,Paris-Le Bourget Airport,Doha International Airport,5h46min,345.6,27.1,4982.0,FR,QA,Paris-Le Bourget Airport - Doha International Airport,LFPB,OTBD,48.964233,2.430232,25.242371,51.573334,57.0,38.0,output\F-GBOL\2022-03-30\leg_1\F-GBOL_2022-03-30_leg_1_merged.csv
