propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-21,2022-07-21 14:40:26.830000+00:00,2022-07-21 15:57:59.420000+00:00,Paris-Le Bourget Airport,Figari Sud-Corse Airport,1h18min,77.53,3.4,979.0,FR,FR,Paris-Le Bourget Airport - Figari Sud-Corse Airport,LFPB,LFKF,48.968445,2.437556,41.529112,9.136473,48.0,252.0,output\F-HJJJ\2022-07-21\leg_1\F-HJJJ_baro_2022-07-21_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-07-21,2022-07-21 07:12:15.540000+00:00,2022-07-21 12:25:45.020000+00:00,Paris-Le Bourget Airport,Niamtougou International Airport,5h13min,313.48,24.6,4347.0,FR,TG,Paris-Le Bourget Airport - Niamtougou International Airport,LFPB,DXNG,48.968948,2.439599,9.7778964,1.095675,63.0,462.0,output\F-GBOL\2022-07-21\leg_1\F-GBOL_baro_2022-07-21_leg_1.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-07-20,2022-07-20 15:14:37.406000+00:00,2022-07-20 16:13:22.846000+00:00,Bordeaux-Merignac Airport,Paris-Le Bourget Airport,59min,58.75,4.6,518.0,FR,FR,Bordeaux-Merignac Airport - Paris-Le Bourget Airport,LFBD,LFPB,44.835022,-0.706199,48.965515,2.45474,-30.0,46.0,output\F-HMBY\2022-07-20\leg_2\F-HMBY_baro_2022-07-20_leg_2.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-07-20,2022-07-20 06:34:02.776000+00:00,2022-07-20 07:22:59.676000+00:00,Paris-Le Bourget Airport,Bordeaux-Merignac Airport,49min,48.93,3.8,518.0,FR,FR,Paris-Le Bourget Airport - Bordeaux-Merignac Airport,LFPB,LFBD,48.969772,2.442416,44.83548,-0.70561,54.0,-23.0,output\F-HMBY\2022-07-20\leg_1\F-HMBY_baro_2022-07-20_leg_1.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-07-19,2022-07-19 17:18:29.587000+00:00,2022-07-19 19:47:37.074000+00:00,Menara Airport,Paris-Le Bourget Airport,2h29min,149.12,11.7,2090.0,A/C in cruise,FR,A/C in cruise - Paris-Le Bourget Airport,A/C in cruise,LFPB,31.873901,-8.014417,48.964621,2.438242,4813.0,65.0,output\F-HMBY\2022-07-19\leg_1\F-HMBY_baro_2022-07-19_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-19,2022-07-19 16:16:13.560000+00:00,2022-07-19 17:38:38.360000+00:00,Dublin Airport,Paris-Le Bourget Airport,1h22min,82.4,3.6,786.0,IE,FR,Dublin Airport - Paris-Le Bourget Airport,EIDW,LFPB,53.422256,-6.286769,48.965413,2.451614,107.0,126.0,output\F-HJJJ\2022-07-19\leg_2\F-HJJJ_baro_2022-07-19_leg_2.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-19,2022-07-19 05:32:01.394000+00:00,2022-07-19 07:09:08.994000+00:00,Paris-Le Bourget Airport,Dublin Airport,1h37min,97.12,4.2,784.0,FR,IE,Paris-Le Bourget Airport - Dublin Airport,LFPB,EIDW,48.9646,2.437838,53.421346,-6.270366,86.0,107.0,output\F-HJJJ\2022-07-19\leg_1\F-HJJJ_baro_2022-07-19_leg_1.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-18,2022-07-18 15:49:48.100000+00:00,2022-07-18 16:31:10+00:00,Saint-Nazaire-Montoir Airport,Paris-Le Bourget Airport,41min,41.35,1.8,389.0,FR,FR,Saint-Nazaire-Montoir Airport - Paris-Le Bourget Airport,LFRZ,LFPB,47.309921,-2.160393,48.968399,2.437204,15.0,15.0,output\F-HJJJ\2022-07-18\leg_2\F-HJJJ_baro_2022-07-18_leg_2.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-18,2022-07-18 15:49:48.100000+00:00,2022-07-18 16:31:10+00:00,Saint-Nazaire-Montoir Airport,Paris-Le Bourget Airport,41min,41.35,1.8,389.0,FR,FR,Saint-Nazaire-Montoir Airport - Paris-Le Bourget Airport,LFRZ,LFPB,47.309921,-2.160393,48.968399,2.437204,15.0,15.0,output\F-HJJJ\2022-07-18\leg_2\F-HJJJ_baro_2022-07-18_leg_2.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-07-18,2022-07-18 14:20:20.314000+00:00,2022-07-18 21:07:11.404000+00:00,King Khaled International Airport,Menara Airport,6h47min,406.85,31.9,5367.0,SA,MA,King Khaled International Airport - Menara Airport,OERK,GMMX,24.954534,46.715922,31.606899,-8.03495,625.0,2964.0,output\F-HMBY\2022-07-18\leg_1\F-HMBY_baro_2022-07-18_leg_1.csv
